service_id,date,exception_type
44,20120116,2
44,20120117,1
44,20120118,1
44,20120119,2
44,20120120,2
44,20120121,2
44,20120122,2
44,20120123,2
44,20120124,1
44,20120125,1
44,20120126,2
44,20120127,2
44,20120128,2
44,20120129,2
44,20120130,2
44,20120131,1
44,20120201,1
44,20120202,2
44,20120203,2
44,20120204,2
44,20120205,2
44,20120206,2
44,20120207,1
44,20120208,1
44,20120209,2
44,20120210,2
44,20120211,2
44,20120212,2
44,20120213,2
44,20120214,1
44,20120215,1
44,20120216,2
44,20120217,2
44,20120218,2
44,20120219,2
44,20120220,2
44,20120221,2
44,20120222,2
44,20120223,2
44,20120224,2
44,20120225,2
44,20120226,2
44,20120227,2
44,20120228,1
44,20120229,1
44,20120301,2
44,20120302,2
44,20120303,2
44,20120304,2
44,20120305,2
44,20120306,1
44,20120307,1
44,20120308,2
44,20120309,2
44,20120310,2
44,20120311,2
44,20120312,2
44,20120313,1
44,20120314,1
44,20120315,2
44,20120316,2
44,20120317,2
44,20120318,2
44,20120319,2
44,20120320,1
44,20120321,1
44,20120322,2
44,20120323,2
44,20120324,2
44,20120325,2
44,20120326,2
44,20120327,1
44,20120328,1
44,20120329,2
44,20120330,2
45,20120102,1
45,20120103,1
45,20120104,2
45,20120105,2
45,20120106,1
45,20120107,2
45,20120108,2
45,20120109,1
45,20120110,1
45,20120111,2
45,20120112,2
45,20120113,1
45,20120114,2
