stop_id,stop_name,stop_desc,stop_lat,stop_lon,stop_url
11031216,Tjensvollkrysset,11031216,58.956300,5.698610,http://gt.rkt.no/H11031216
11031217,Siddishallen,11031217,58.954710,5.694870,http://gt.rkt.no/H11031217
11031218,Stavanger turnhall,11031218,58.954370,5.691980,http://gt.rkt.no/H11031218
11031222,Lassa v/E39,11031222,58.957716,5.699053,http://gt.rkt.no/H11031222
11031223,Lassa v/E39,11031223,58.957698,5.699388,http://gt.rkt.no/H11031223
11031224,Madlaveien,11031224,58.959360,5.706170,http://gt.rkt.no/H11031224
11031225,Mosvannsparken,11031225,58.960700,5.710660,http://gt.rkt.no/H11031225
11031226,Mosvannsparken,11031226,58.961034,5.711064,http://gt.rkt.no/H11031226
11031227,Holbergs gate,11031227,58.961571,5.714970,http://gt.rkt.no/H11031227
11031228,Holbergs gate,11031228,58.961500,5.716480,http://gt.rkt.no/H11031228
11031231,St. Svithuns plass,11031231,58.962790,5.724560,http://gt.rkt.no/H11031231
11031232,St. Svithuns plass,11031232,58.963095,5.724435,http://gt.rkt.no/H11031232
11031233,Kannik,11031233,58.964596,5.728766,http://gt.rkt.no/H11031233
11031234,Kannik,11031234,58.964590,5.728328,http://gt.rkt.no/H11031234
11031236,Møllegata,11031236,58.967360,5.724850,http://gt.rkt.no/H11031236
11031238,Ledaal,11031238,58.965700,5.720530,http://gt.rkt.no/H11031238
11031239,Torfæusgate,11031239,58.963633,5.715668,http://gt.rkt.no/H11031239
11031240,Torfæusgate,11031240,58.963520,5.715120,http://gt.rkt.no/H11031240
11031241,Færøygata,11031241,58.964560,5.717770,http://gt.rkt.no/H11031241
11031242,Erling Skjalgsons gate,11031242,58.965731,5.720501,http://gt.rkt.no/H11031242
11031244,Wesselsgata,11031244,58.967600,5.723600,http://gt.rkt.no/H11031244
11031245,Møllegata,11031245,58.967710,5.725850,http://gt.rkt.no/H11031245
11031246,Løkkeveien,11031246,58.968294,5.727638,http://gt.rkt.no/H11031246
11031247,Henrik Steffens gate,11031247,58.969995,5.725598,http://gt.rkt.no/H11031247
11031248,Henrik Steffens gate,11031248,58.969974,5.725842,http://gt.rkt.no/H11031248
11031251,Løvdals gate,11031251,58.969637,5.722003,http://gt.rkt.no/H11031251
11031252,Niels Juels gate,11031252,58.970380,5.719540,http://gt.rkt.no/H11031252
11031254,Rudlå,11031254,58.971728,5.723158,http://gt.rkt.no/H11031254
11031255,Rudlå,11031255,58.972200,5.721480,http://gt.rkt.no/H11031255
11031256,Chr. Thranes plass,11031256,58.972571,5.719315,http://gt.rkt.no/H11031256
11031257,Chr. Thranes plass,11031257,58.973335,5.717658,http://gt.rkt.no/H11031257
11031258,Bjergsted,11031258,58.975328,5.719425,http://gt.rkt.no/H11031258
11031259,Bjergsted,11031259,58.974640,5.720131,http://gt.rkt.no/H11031259
11031260,Rosenberggata,11031260,58.978066,5.716138,http://gt.rkt.no/H11031260
11031261,Rosenberggata,11031261,58.977871,5.716033,http://gt.rkt.no/H11031261
11031263,Kaptein Mejlænders gate,11031263,58.979773,5.714986,http://gt.rkt.no/H11031263
11031264,Kaptein Mejlænders gate,11031264,58.980134,5.714451,http://gt.rkt.no/H11031264
11031265,Kalhammeren,11031265,58.980798,5.712496,http://gt.rkt.no/H11031265
11031266,Kalhammeren,11031266,58.981460,5.710425,http://gt.rkt.no/H11031266
11031267,Chr. Bjellands gate,11031267,58.982303,5.708775,http://gt.rkt.no/H11031267
